[2019-07-27T10:10:02,222][WARN ][o.e.d.a.b.BulkRequestParser] [node-1] [types removal] Specifying types in bulk requests is deprecated.
[2019-07-27T10:18:36,223][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:18:47,923][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:18:50,439][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:18:53,952][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:19:00,428][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:19:01,587][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:19:08,371][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:19:15,969][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:19:22,350][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
[2019-07-27T10:19:53,299][WARN ][o.e.d.s.a.b.h.DateHistogramAggregationBuilder] [node-1] [interval] on [date_histogram] is deprecated, use [fixed_interval] or [calendar_interval] in the future.
